"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"312690 Frei Inocêncio",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"312695 Frei Lagonegro",0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"312700 Fronteira",15,56,103,63,80,73,13,41,98,111,68,68,42,74,5,27,35,22,35,26,30,25,25,11,3,6,3,3,3,5,3,2,2,1,2,0,1,1,2,0,0,0,1183
"312705 Fronteira dos Vales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312707 Fruta de Leite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312710 Frutal",16,35,103,161,247,264,353,391,402,249,411,294,299,225,170,141,122,108,100,85,89,60,31,22,10,12,8,10,6,5,2,0,3,5,4,6,4,3,7,4,10,2,4479
"312720 Funilândia",1,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0,1,0,2,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20
"312730 Galiléia",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"312733 Gameleiras",0,0,1,5,9,3,11,13,15,6,7,3,0,3,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"312735 Glaucilândia",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"312737 Goiabeira",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5
"312738 Goianá",1,7,1,0,0,0,0,0,2,2,7,3,0,3,3,0,0,6,6,4,4,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"312740 Gonçalves",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"312750 Gonzaga",0,1,0,0,0,2,0,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"312760 Gouvêa",0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"312770 Governador Valadares",3,3,11,38,73,65,31,21,28,13,15,15,15,7,6,6,10,4,7,12,18,11,11,2,10,1,3,2,2,1,1,5,22,25,1,4,2,3,50,69,16,8,650
"312780 Grão Mogol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312790 Grupiara",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,1,0,1,0,3,1,2,1,2,0,0,21
"312800 Guanhães",0,3,0,0,0,2,0,0,0,1,1,2,5,3,1,4,6,5,3,3,9,4,1,4,2,2,5,2,1,0,2,1,0,0,2,0,1,1,1,1,2,0,80
"312810 Guapé",0,0,0,1,0,0,0,3,4,6,4,7,0,0,8,0,1,2,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53
"312820 Guaraciaba",0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
